Property ID,Property Name,Address,City,Neighborhood,Province,Postal Code,Property Type,Bedrooms,Bathrooms,Parking Spots,Square Footage,Price (CAD),Status,Available Date,Description,Amenities,Agent Name,Agent Phone,Agent Email,Last Updated,Voiceflow Doc ID,Internal Notes
PROP-001,77 Allegranza Avenue,77 Allegranza Avenue,Vaughan,Maple,Ontario,L6A 1A1,Detached House,4,3,2,2450,1299000,Available,2024-02-01,"Stunning 4-bedroom detached home in sought-after Maple neighbourhood. Open-concept kitchen, hardwood floors throughout, finished basement.","Hardwood Floors, Finished Basement, Double Garage, Backyard, Central AC",Sarah Mitchell,416-555-0101,sarah@realty.ca,2024-01-15,,New listing - priority index
PROP-002,The Thornhill Grand,245 Clark Avenue W,Vaughan,Thornhill,Ontario,L4J 7Y3,Condo,2,2,1,980,699000,Available,2024-02-15,"Modern 2-bedroom condo in the heart of Thornhill. Floor-to-ceiling windows, updated kitchen, steps to TTC and shopping.","Concierge, Gym, Rooftop Terrace, Party Room, Visitor Parking",James Okafor,416-555-0202,james@realty.ca,2024-01-18,,
PROP-003,Maple Valley Townhome,88 Millway Avenue,Vaughan,Maple,Ontario,L6A 3Z8,Townhouse,3,2,1,1650,899000,Available,2024-03-01,"Bright end-unit townhouse in family-friendly Maple Valley community. Upgraded kitchen, private backyard patio, direct garage access.","Private Backyard, Direct Garage, Updated Kitchen, Near Top-Rated Schools",Sarah Mitchell,416-555-0101,sarah@realty.ca,2024-01-20,,
PROP-004,Woodbridge Heritage Home,12 Kipling Avenue,Vaughan,Woodbridge,Ontario,L4L 1Y2,Detached House,5,4,3,3100,1749000,Available,2024-02-20,"Prestigious 5-bedroom executive home in Woodbridge. Grand foyer, chef's kitchen, 3-car garage, professionally landscaped lot.","3-Car Garage, Chef Kitchen, Home Office, Wine Cellar, Smart Home System",David Chen,416-555-0303,david@realty.ca,2024-01-22,,Premium listing
PROP-005,Concord Park Suites,550 Highway 7 E,Vaughan,Concord,Ontario,L4K 5R8,Condo,1,1,1,620,529000,Available,2024-02-10,"Stylish 1-bedroom + den condo in vibrant Concord. Steps to Vaughan Metropolitan Centre subway, restaurants, and shops.","Subway Access, Rooftop Pool, Co-working Lounge, 24/7 Concierge",James Okafor,416-555-0202,james@realty.ca,2024-01-19,,
PROP-006,Kleinburg Creek Cottage,8 Nashville Road,Vaughan,Kleinburg,Ontario,L0J 1C0,Semi-Detached,3,2,2,1820,999000,Sold,2024-01-15,"Charming 3-bedroom semi in historic Kleinburg village. Exposed brick, stone fireplace, walkout to ravine lot.","Ravine Lot, Stone Fireplace, Exposed Brick, Large Deck",Sarah Mitchell,416-555-0101,sarah@realty.ca,2024-01-25,,Sold - keep for reference
PROP-007,Vellore Woods Executive,420 Vellore Park Avenue,Vaughan,Vellore Village,Ontario,L4H 3N6,Detached House,4,4,2,2800,1499000,Available,2024-03-15,"Award-winning Vellore Woods community. 4-bedroom, 4-bath executive home with resort-style backyard pool and cabana.","Inground Pool, Cabana, Double Garage, Finished Basement, Home Theatre",David Chen,416-555-0303,david@realty.ca,2024-01-28,,
PROP-008,Nashville Lofts,110 Nashville Road,Vaughan,Kleinburg,Ontario,L0J 1C0,Condo,2,2,1,1100,779000,Rented,2024-04-01,"Boutique loft-style condo in Kleinburg. 10ft ceilings, exposed ductwork design, open terrace with village views.","10ft Ceilings, Open Terrace, Village Views, Pet Friendly",James Okafor,416-555-0202,james@realty.ca,2024-01-30,,
PROP-009,Dufferin Hills Bungalow,67 Dufferin Street,Vaughan,Thornhill,Ontario,L4J 1W8,Detached House,3,2,2,1500,1150000,Under Offer,2024-02-28,All-brick bungalow with fully finished lower level suite. Perfect for multi-generational living. Walk to Promenade Mall.,"In-Law Suite, Walk to Mall, All Brick, Updated Bathrooms, Large Lot",Sarah Mitchell,416-555-0101,sarah@realty.ca,2024-02-01,,
PROP-010,Sonoma Heights Retreat,33 Sunset Terrace,Vaughan,Sonoma Heights,Ontario,L4H 0B1,Townhouse,4,3,2,2100,1099000,Available,2024-03-10,"Executive freehold townhouse in Sonoma Heights. 9ft ceilings on main, quartz countertops, direct access to walking trails.","Freehold, 9ft Ceilings, Walking Trails, Quartz Kitchen, Double Garage",David Chen,416-555-0303,david@realty.ca,2024-02-03,,
PROP-011,Islington Terrace,201 Islington Avenue,Vaughan,Woodbridge,Ontario,L4L 2G5,Condo,3,2,2,1350,949000,Available,2024-02-25,"Spacious 3-bedroom corner unit in boutique mid-rise. Two balconies with CN Tower views on clear days, updated throughout.","Corner Unit, Two Balconies, Updated, 2 Parking, Locker",James Okafor,416-555-0202,james@realty.ca,2024-02-05,,
PROP-012,Maple Meadows Estate,55 Rutherford Road N,Vaughan,Maple,Ontario,L6A 4P3,Detached House,6,5,3,4200,2499000,Available,2024-04-15,"Ultra-premium 6-bedroom estate in prestigious Maple Meadows. Elevator, nanny suite, theatre room, heated driveway.","Elevator, Heated Driveway, Theatre Room, Nanny Suite, 3-Car Garage, Pool",David Chen,416-555-0303,david@realty.ca,2024-02-07,,Luxury tier listing
